Sample,Location,Borehole,Depth,Soil bulk density (kN/m3),Soil bulk density (g/cm3),Soil dry density (kN/m3),Field resistivity  (ρ),Lab. Resistivity  (ρa),Porosity (%),Moisture content (%),
1,UTP,BH 1,0.5,17.06,1.74,14.91,18.46,436.76,43.72,14.39,
2,,,1.0,15.54,1.58,13.95,192.29,2732.25,47.35,11.35,
3,,,1.5,17.23,1.76,14.54,35.35,186.41,45.12,18.46,
4,,,2.0,12.72,1.30,11.33,36.45,946.18,57.26,12.34,
5,,,2.5,15.46,1.58,13.74,99.44,320.94,48.15,12.55,
6,,,3.0,16.89,1.72,14.98,102.93,138.74,43.48,12.78,
7,PINJI-1,BH 2,0.5,20.24,2.06,16.72,633.11,2124.80,36.92,21.06,
8,,,1.0,19.81,2.02,17.31,924.69,7424.98,34.66,14.44,
9,,,1.5,22.56,2.30,19.38,1037.33,4616.57,26.86,16.39,
10,,,2.0,22.24,2.27,20.09,1138.66,3868.30,24.18,10.67,
11,,,2.5,19.70,2.01,15.50,1153.90,1148.19,41.52,27.12,
12,,,3.0,20.57,2.10,15.66,1250.83,1238.64,40.92,31.36,
13,PINJI-2,BH 3,0.5,19.79,2.02,16.88,406.26,2103.06,36.31,17.22,
14,,,1.0,18.73,1.91,15.13,603.89,2934.13,42.91,23.84,
15,,,1.5,20.58,2.10,16.20,705.54,1936.95,38.89,27.07,
16,,,2.0,19.72,2.01,16.11,602.64,1743.64,39.21,22.4,
17,,,2.5,22.20,2.26,18.53,701.45,1965.44,30.08,19.82,
18,,,3.0,21.33,2.17,16.70,763.98,1664.38,36.99,27.73,
19,KOYAN-1,BH 4,0.5,18.32,1.87,15.32,471.61,1191.01,42.18,19.57,
20,,,1.0,24.60,2.51,20.03,761.94,1230.19,24.43,22.83,
21,,,1.5,18.59,1.90,16.01,584.88,1148.05,39.60,16.12,
22,,,2.0,20.44,2.08,16.05,597.61,1709.61,39.45,27.35,
23,,,2.5,20.67,2.11,16.38,523.93,887.25,38.18,26.19,
24,,,3.0,20.04,2.04,16.08,585.35,885.94,39.31,24.6,
25,KOYAN-2,BH 5,0.5,17.21,1.76,13.08,428.41,2907.50,50.63,31.55,
26,,,1.0,16.15,1.65,11.93,301.95,1671.40,54.98,35.36,
27,,,1.5,19.10,1.95,13.34,347.82,1304.76,49.66,43.19,
28,,,2.0,18.02,1.84,14.80,335.57,1471.62,44.14,21.71,
29,,,2.5,18.92,1.93,13.27,298.49,735.99,49.91,42.51,
30,,,3.0,18.33,1.87,13.56,304.46,1507.21,48.83,35.21,
31,ULU PUDU -1,BH 6,0.5,19.52,1.99,15.53,15.87,10.74,41.40,25.69,
32,,,1.0,18.01,1.84,15.07,115.47,33.62,43.14,19.53,
33,,,1.5,22.09,2.25,17.28,136.06,134.77,34.80,27.83,
34,,,2.0,17.31,1.76,13.26,125.99,113.33,49.96,30.52,
35,,,2.5,20.11,2.05,15.79,73.92,299.18,40.41,27.32,
36,,,3.0,17.13,1.75,14.75,85.49,427.40,44.33,16.09,
37,ULU PUDU -2,BH 7,0.5,23.93,2.44,20.94,127.11,582.06,20.99,14.30,
38,,,1.0,25.48,2.60,21.50,161.59,757.34,18.85,18.51,
39,,,1.5,20.75,2.12,17.08,194.79,5918.24,35.56,21.53,
40,,,2.0,23.83,2.43,20.00,177.40,706.95,24.52,19.12,
41,,,2.5,18.49,1.89,16.31,172.73,607.94,38.44,13.34,
42,,,3.0,17.72,1.81,14.14,161.58,3430.98,46.64,25.32,
43,TRONOH -1,BH 8,0.5,12.42,1.27,10.37,436.11,534.35,60.88,19.84,
44,,,1.0,22.23,2.27,17.39,447.74,920.59,34.38,27.82,
45,,,1.5,18.79,1.92,16.43,488.93,880.46,38.02,14.40,
46,,,2.0,19.58,2.00,16.85,540.30,1091.90,36.43,16.25,
47,,,2.5,30.19,3.08,24.38,603.26,1137.57,7.99,23.84,
48,,,3.0,22.01,2.24,19.40,663.40,1429.85,26.79,13.44,
49,TRONOH -2,BH 9,0.5,15.63,1.59,12.27,829.49,527.39,53.68,27.35,
50,,,1.0,19.85,2.02,17.43,916.52,2474.62,34.24,13.92,
51,,,1.5,18.29,1.86,16.18,795.55,955.85,38.96,13.04,
52,,,2.0,21.55,2.20,18.82,695.01,875.57,28.98,14.51,
53,,,2.5,17.85,1.82,15.55,607.98,2153.93,41.32,14.81,
54,,,3.0,14.59,1.49,12.77,558.02,624.60,51.81,14.25,
55,SELAYANG -1,BH 10,0.5,21.49,2.19,18.21,72.85,112.90,31.29,18.03,
56,,,1.0,28.90,2.95,24.02,56.08,84.51,9.34,20.28,
57,,,1.5,21.10,2.15,17.78,69.14,81.08,32.90,18.68,
58,,,2.0,21.68,2.21,18.05,94.57,29.39,31.87,20.09,
59,,,2.5,18.18,1.85,14.65,48.70,81.30,44.72,24.11,
60,,,3.0,20.20,2.06,16.50,53.73,137.87,37.75,22.43,
61,SELAYANG -2,BH 11,0.5,20.67,2.11,17.11,60.09,55.40,35.45,20.86,
62,,,1.0,17.60,1.79,13.90,49.89,139.15,47.54,26.59,
63,,,1.5,21.62,2.20,18.63,33.79,145.23,29.69,16.02,
64,,,2.0,18.52,1.89,14.94,87.79,121.13,43.61,23.96,
65,,,2.5,19.18,1.96,15.74,97.72,106.85,40.62,21.87,
66,,,3.0,20.22,2.06,17.20,147.23,70.40,35.08,17.55,
67,PARIT - 1,BH 12,0.5,14.71,1.50,11.66,136.68,151.32,56.00,26.14,
68,,,1.0,12.53,1.28,11.34,219.91,2459.24,57.20,10.51,
69,,,1.5,14.80,1.51,13.31,347.07,524.70,49.79,11.20,
70,,,2.0,13.48,1.37,10.92,387.09,4166.87,58.78,23.37,
71,,,2.5,15.38,1.57,18.71,389.28,219.72,29.38,27.09,
72,,,3.0,17.31,1.76,13.97,455.65,187.80,47.28,23.87,
73,PARIT - 2,BH 13,0.5,17.60,1.79,13.73,439.09,527.19,48.20,28.18,
74,,,1.0,14.28,1.46,11.84,299.24,610.20,55.31,20.58,
75,,,1.5,12.30,1.25,9.87,336.89,769.50,62.74,24.55,
76,,,2.0,11.40,1.16,7.84,364.16,360.16,70.41,13.50,
77,,,2.5,11.91,1.21,9.26,347.83,304.39,65.05,28.63,
78,,,3.0,11.40,1.16,6.24,360.89,224.63,76.47,29.97,
79,SHAH ALAM - 1,BH 14,0.5,17.93,1.83,13.51,20.31,616.12,49.01,32.68,
80,,,1.0,16.17,1.65,9.83,45.26,101.62,62.90,64.45,
81,,,1.5,15.33,1.56,11.02,44.93,44.72,58.41,39.05,
82,,,2.0,15.97,1.63,11.83,96.77,250.57,55.37,35.06,
83,,,2.5,15.59,1.59,10.16,38.03,40.93,61.66,53.47,
84,,,3.0,15.61,1.59,9.38,44.26,48.13,64.59,66.32,
85,SHAH ALAM - 2,BH 15,0.5,14.49,1.48,10.46,167.55,203.75,60.52,38.52,
86,,,1.0,16.33,1.67,10.69,139.39,260.84,59.64,52.70,
87,,,1.5,16.09,1.64,12.96,48.54,55.23,51.11,24.16,
88,,,2.0,17.00,1.73,9.89,118.45,40.54,62.68,71.91,
89,,,2.5,18.03,1.84,13.49,123.87,66.35,49.09,33.67,
90,,,3.0,16.43,1.68,11.56,39.00,46.97,56.36,42.08,
91,PUNCAK - 1,BH 16,0.5,18.45,1.88,15.39,1960.61,2059.67,41.93,19.98,
92,,,1.0,17.09,1.74,12.88,2658.13,2622.00,51.39,32.64,
93,,,1.5,20.18,2.06,16.30,1051.00,1714.05,38.48,23.76,
94,,,2.0,19.65,2.00,15.20,1166.31,1994.47,42.63,29.22,
95,,,2.5,20.18,2.06,16.37,1040.79,1538.49,38.23,23.29,
96,,,3.0,19.42,1.98,16.00,1077.39,1830.37,39.60,21.36,
97,PUNCAK - 2,BH 17,0.5,18.13,1.85,15.43,878.03,2483.99,41.79,17.54,
98,,,1.0,16.58,1.69,13.14,1027.43,2012.40,50.42,26.22,
99,,,1.5,19.59,2.00,15.97,1159.87,1368.26,39.75,22.73,
100,,,2.0,19.01,1.94,15.27,965.85,2020.62,42.38,24.50,
101,,,2.5,19.74,2.01,15.56,996.01,2212.13,41.28,26.86,
102,,,3.0,20.10,2.05,16.83,1012.35,1521.14,36.49,19.44,
103,HUTAN MELINTANG - 1,BH 18,0.5,13.95,1.42,10.02,42.83,162.49,62.18,39.22,
104,,,1.0,13.23,1.35,6.97,29.91,81.37,73.69,89.74,
105,,,1.5,13.38,1.36,6.01,22.07,11.94,77.32,122.64,
106,,,2.0,13.03,1.33,5.04,31.56,7.10,80.97,158.46,
107,,,2.5,13.03,1.33,5.26,40.68,5.31,80.15,147.64,
108,,,3.0,13.49,1.38,5.76,59.22,4.34,78.28,134.30,
109,HUTAN MELINTANG - 2,BH 19,0.5,12.80,1.31,7.83,7.24,166.40,70.45,63.41,
110,,,1.0,14.64,1.49,8.48,19.42,69.11,68.01,72.75,
111,,,1.5,12.74,1.30,5.62,14.28,11.91,78.78,126.55,
112,,,2.0,12.67,1.29,5.21,51.66,7.27,80.32,142.88,
113,,,2.5,14.01,1.43,6.02,27.81,2.60,77.27,132.66,
114,,,3.0,13.11,1.34,5.42,14.08,4.79,79.54,141.80,
115,KLANG - 1,BH 20,1.0,10.04,1.02,7.09,106.39,383.46,73.26,41.70,
116,,,2.5,12.93,1.32,5.45,9.43,12.77,79.45,137.47,
117,,,3.0,12.70,1.29,5.51,6.60,10.22,79.19,130.32,
118,KLANG - 2,BH 21,1.0,16.60,1.69,12.84,88.29,248.02,51.56,29.31,
119,,,1.5,11.41,1.16,4.35,9.90,51.57,83.59,162.28,
120,,,2.0,13.58,1.38,5.91,76.88,22.36,77.68,129.61,
