Sample,Location,Borehole,Depth,Clay (%),Silt (%),Sand (%),Gravels (%),D10,D30,D60,CU,CC,1D inverted resistivity,Lab. Resistivity  (?a),Moisture content (%),Soil Classification,,,,,,,,,,,,
1,UTP,BH 1,0.5,6.91,2.61,83.88,6.60,0.0650,0.1540,0.3200,4.92,1.14,33.71,436.76,14.39,SP-SC,,,,,,,,,,,,clay
2,,,1.0,5.90,5.33,88.35,0.42,0.0220,0.0920,0.1880,8.55,2.05,49.93,2732.25,11.35,SP-SC,,,,,,,,,,,,sand
3,,,1.5,3.64,4.75,91.61,0.00,0.0530,0.0880,0.1620,3.06,0.90,61.38,186.41,18.46,SP-SC,,,,,,,,,,,,
4,,,2.0,1.81,1.81,96.38,0.00,0.0580,0.0800,0.1400,2.41,0.79,69.63,946.18,12.34,SP-SC,,,,,,,,,,,,
5,,,2.5,1.04,4.18,94.62,0.16,0.0600,0.0900,0.1580,2.63,0.85,75.76,320.94,12.55,SP-SC,,,,,,,,,,,,
6,,,3.0,1.24,3.95,94.78,0.03,0.0600,0.0950,0.1740,2.90,0.86,80.45,138.74,12.78,SP-SC,,,,,,,,,,,,
7,PINJI-1,BH 2,0.5,34.53,2.41,60.56,0.00,0.0000,0.0000,0.2500,#DIV/0!,#DIV/0!,635.80,2124.80,21.06,SC,,,,,,,,,,,,
8,,,1.0,30.52,3.21,66.17,0.00,0.0000,0.0030,0.3200,#DIV/0!,#DIV/0!,906.30,7424.98,14.44,SC,,,,,,,,,,,,
9,,,1.5,21.68,7.23,71.09,0.00,0.0000,0.1700,0.4500,#DIV/0!,#DIV/0!,1054.00,4616.57,16.39,SC,,,,,,,,,,,,
10,,,2.0,18.47,7.23,74.20,0.10,0.0000,0.1800,0.5100,#DIV/0!,#DIV/0!,1135.50,3868.30,10.67,SC,,,,,,,,,,,,
11,,,2.5,42.56,7.23,50.21,0.00,0.0000,0.0000,0.1500,#DIV/0!,#DIV/0!,1182.30,1148.19,27.12,SC,,,,,,,,,,,,
12,,,3.0,44.97,12.05,42.98,0.00,0.0000,0.0000,0.0540,#DIV/0!,#DIV/0!,1210.20,1238.64,31.36,MH,,,,,,,,,,,,
13,PINJI-2,BH 3,0.5,30.52,2.40,67.08,0.00,0.0000,0.0020,0.2600,#DIV/0!,#DIV/0!,416.80,2103.06,17.22,SM,,,,,,,,,,,,
14,,,1.0,32.12,3.21,64.67,0.00,0.0000,0.0030,0.2400,#DIV/0!,#DIV/0!,583.70,2934.13,23.84,SM,,,,,,,,,,,,
15,,,1.5,36.14,4.81,59.05,0.00,0.0000,0.0000,0.2080,#DIV/0!,#DIV/0!,652.60,1936.95,27.07,SM,,,,,,,,,,,,
16,,,2.0,35.33,4.82,59.82,0.00,0.0000,0.2800,0.5100,#DIV/0!,#DIV/0!,683.20,1743.64,22.4,SM,,,,,,,,,,,,
17,,,2.5,25.70,2.41,71.89,0.00,0.0000,0.6200,0.1500,#DIV/0!,#DIV/0!,701.30,1965.44,19.82,SM,,,,,,,,,,,,
18,,,3.0,31.32,2.41,66.67,0.00,0.0000,0.3700,0.0540,#DIV/0!,#DIV/0!,715.50,1664.38,27.73,SC,,,,,,,,,,,,
19,KOYAN-1,BH 4,0.5,11.36,9.47,79.17,0.00,0.0030,0.0200,0.2700,90.00,0.49,505.10,1191.01,19.57,SM,,,,,,,,,,,,
20,,,1.0,3.24,24.34,72.42,0.00,0.0030,0.0570,0.4600,153.33,2.35,634.80,1230.19,22.83,SM,,,,,,,,,,,,
21,,,1.5,24.34,35.68,39.98,0.00,0.0013,0.0045,0.0500,38.46,0.31,642.20,1148.05,16.12,MH,,,,,,,,,,,,
22,,,2.0,10.00,33.80,56.20,0.00,0.0020,0.0061,0.1750,87.50,0.11,609.70,1709.61,27.35,SM,,,,,,,,,,,,
23,,,2.5,11.36,45.42,43.22,0.00,0.0013,0.0040,0.0450,34.62,0.27,571.00,887.25,26.19,MH,,,,,,,,,,,,
24,,,3.0,6.49,14.60,78.91,0.00,0.0060,0.0900,0.5700,95.00,2.37,536.80,885.94,24.6,SM,,,,,,,,,,,,
25,KOYAN-2,BH 5,0.5,22.00,34.78,43.22,0.00,0.0012,0.0027,0.0700,58.33,0.09,428.00,2907.50,31.55,MH,,,,,,,,,,,,
26,,,1.0,15.00,45.00,40.00,0.00,0.0016,0.0041,0.1250,80.65,0.09,309.10,1671.40,35.36,MH,,,,,,,,,,,,
27,,,1.5,8.50,21.50,70.00,0.00,0.0030,0.0500,0.3000,100.00,2.78,334.30,1304.76,43.19,SM,,,,,,,,,,,,
28,,,2.0,19.00,32.91,48.09,0.00,0.0013,0.0037,0.0540,41.54,0.20,332.50,1471.62,21.71,MH,,,,,,,,,,,,
29,,,2.5,18.50,33.41,48.09,0.00,0.0013,0.0040,0.1250,96.15,0.10,316.60,735.99,42.51,MH,,,,,,,,,,,,
30,,,3.0,18.00,32.00,50.00,0.00,0.0012,0.0044,0.1240,103.33,0.13,296.20,1507.21,35.21,MH,,,,,,,,,,,,
31,PUDU ULU -1,BH 6,0.5,26.63,23.47,49.80,0.00,0.001,0.004,0.190,190.00,0.08,35.64,10.74,25.69,MH,,,,,,,,,,,,
32,,,1.0,12.91,5.99,81.00,0.00,0.001,0.600,1.140,814.29,225.56,61.08,33.62,19.53,SM,,,,,,,,,,,,
33,,,1.5,13.72,4.28,82.00,0.00,0.001,0.590,1.000,769.23,267.77,80.18,134.77,27.83,SM,,,,,,,,,,,,
34,,,2.0,12.11,10.49,76.20,1.20,0.001,0.456,0.900,818.18,209.58,93.99,113.33,30.52,SM,,,,,,,,,,,,
35,,,2.5,5.65,1.75,92.50,0.00,0.455,0.780,1.250,2.75,1.07,103.9,299.18,27.32,SP-SM,,,,,,,,,,,,
36,,,3.0,7.26,4.04,88.60,0.00,0.010,0.650,1.050,105.00,40.24,111.1,427.40,16.09,SP-SM,,,,,,,,,,,,
37,PUDU ULU -2,BH 7,0.5,3.23,1.37,90.80,4.60,0.44,0.62,1.00,2.27,0.87,126.7,582.06,14.30,SP-SM,,,,,,,,,,,,
