Sample,Location,Borehole,Depth,Cohesion (kPa),Angle of friction (?),Field resistivity  (?),Lab. Resistivity  (?a)
1,UTP,BH 1,0.5,22.03,29.11,18.46,436.76
2,,,1.0,24.67,16.48,192.29,2732.25
3,,,1.5,25.6,6.84,35.35,186.41
4,,,2.0,27.8,9.48,36.45,946.18
5,,,2.5,21.73,8.08,99.44,320.94
6,,,3.0,25.6,10.48,102.93,138.74
7,PINJI-1,BH 2,0.5,1.60,24.00,633.11,2124.80
8,,,1.0,52.00,24.17,924.69,7424.98
9,,,1.5,8.22,21.86,1037.33,4616.57
10,,,2.0,12.26,21.53,1138.66,3868.30
11,,,2.5,2.63,17.30,1153.90,1148.19
12,,,3.0,5.33,19.16,1250.83,1238.64
13,PINJI-2,BH 3,0.5,1.90,25.00,406.26,2103.06
14,,,1.0,43.67,22.18,603.89,2934.13
15,,,1.5,1.24,20.65,705.54,1936.95
16,,,2.0,10.97,24.68,602.64,1743.64
17,,,2.5,3.52,14.38,701.45,1965.44
18,,,3.0,1.94,22.50,763.98,1664.38
19,KOYAN-1,BH 4,0.5,90.66,49.61,471.61,1191.01
20,,,1.0,14.01,48.5,761.94,1230.19
21,,,1.5,42.59,47.42,584.88,1148.05
22,,,2.0,81.3,48.52,597.61,1709.61
23,,,2.5,42.6,35.34,523.93,887.25
24,,,3.0,10.95,35.96,585.35,885.94
25,KOYAN-2,BH 5,0.5,88.21,49.57,428.41,2907.50
26,,,1.0,85.26,48.48,301.95,1671.40
27,,,1.5,60.85,47.64,347.82,1304.76
28,,,2.0,67.17,49.08,335.57,1471.62
29,,,2.5,90.48,49.13,298.49,735.99
30,,,3.0,65.14,49.70,304.46,1507.21
31,ULU PUDU -1,BH 6,0.5,91.93,49.8,15.87,10.74
32,,,1.0,76.03,26.01,115.47,33.62
33,,,1.5,26.54,37,136.06,134.77
34,,,2.0,30.76,35.6,125.99,113.33
35,,,2.5,62.69,49.85,73.92,299.18
36,,,3.0,39.99,28.71,85.49,427.40
37,ULU PUDU -2,BH 7,0.5,76.01,35.81,127.11,582.06
38,,,1.0,37.26,46.77,161.59,757.34
39,,,1.5,67.15,25.10,194.79,5918.24
40,,,2.0,54.21,33.70,177.40,706.95
41,,,2.5,93.83,49.71,172.73,607.94
42,,,3.0,92.12,28.60,161.58,3430.98
43,TRONOH -1,BH 8,0.5,90.21,49.45,436.11,534.35
44,,,1.0,69.19,47.3,447.74,920.59
45,,,1.5,94.3,49.21,488.93,880.46
46,,,2.0,73.41,47.49,540.30,1091.90
47,,,2.5,90.51,47.24,603.26,1137.57
48,,,3.0,53.48,34.46,663.40,1429.85
49,TRONOH -2,BH 9,0.5,99.45,48.55,829.49,527.39
50,,,1.0,71.13,37.26,916.52,2474.62
51,,,1.5,67.93,36.32,795.55,955.85
52,,,2.0,89.81,47.96,695.01,875.57
53,,,2.5,94.59,49.14,607.98,2153.93
54,,,3.0,99.64,49.9,558.02,624.60
55,SELAYANG -1,BH 10,0.5,93.25,42.96,72.85,112.90
56,,,1.0,66.6,34.11,56.08,84.51
57,,,1.5,80.4,30.01,69.14,81.08
58,,,2.0,62.57,37.1,94.57,29.39
59,,,2.5,82.91,37.75,48.70,81.30
60,,,3.0,99.07,29.86,53.73,137.87
61,SELAYANG -2,BH 11,0.5,94.68,28.58,60.09,55.40
62,,,1.0,67.7,27.45,49.89,139.15
63,,,1.5,87.02,32.98,33.79,145.23
64,,,2.0,60.57,27.14,87.79,121.13
65,,,2.5,93.2,29.55,97.72,106.85
66,,,3.0,99.62,34.16,147.23,70.40
67,PARIT - 1,BH 12,0.5,50.5,34.78,136.68,151.32
68,,,1.0,37.42,47.43,219.91,2459.24
69,,,1.5,77.52,32,347.07,524.70
70,,,2.0,62.12,35.14,387.09,4166.87
71,,,2.5,50.25,20.83,389.28,219.72
72,,,3.0,60.2,8.45,455.65,187.80
73,PARIT - 2,BH 13,0.5,56.79,30.6,439.09,527.19
74,,,1.0,35.86,34.44,299.24,610.20
75,,,1.5,79.68,37.07,336.89,769.50
76,,,2.0,66.92,34.9,364.16,360.16
77,,,2.5,51.59,29.78,347.83,304.39
78,,,3.0,59.06,29.22,360.89,224.63
79,SHAH ALAM - 1,BH 14,0.5,57.59,35.12,20.31,616.12
80,,,1.0,58.49,33.52,45.26,101.62
81,,,1.5,47.78,42.23,44.93,44.72
82,,,2.0,40.51,45.29,96.77,250.57
83,,,2.5,10.43,17.49,38.03,40.93
84,,,3.0,17.8,31.24,44.26,48.13
85,SHAH ALAM - 2,BH 15,0.5,22.15,31.07,167.55,203.75
86,,,1.0,7.92,20.18,139.39,260.84
87,,,1.5,57.59,26.8,48.54,55.23
88,,,2.0,58.49,27.21,118.45,40.54
89,,,2.5,15.75,5.56,123.87,66.35
90,,,3.0,44.68,24.81,39.00,46.97
91,PUNCAK - 1,BH 16,0.5,39.45,47.05,1960.61,2059.67
92,,,1.0,53.15,47.2,2658.13,2622.00
93,,,1.5,47.21,37.95,1051.00,1714.05
94,,,2.0,46.92,37.79,1166.31,1994.47
95,,,2.5,43.71,38.18,1040.79,1538.49
96,,,3.0,57.55,34.81,1077.39,1830.37
97,PUNCAK - 2,BH 17,0.5,7.64,43.13,878.03,2483.99
98,,,1.0,52.35,38.09,1027.43,2012.40
99,,,1.5,63.46,33.53,1159.87,1368.26
100,,,2.0,58.03,38.51,965.85,2020.62
101,,,2.5,57.8,31.2,996.01,2212.13
102,,,3.0,54.55,49.67,1012.35,1521.14
103,HUTAN MELINTANG - 1,BH 18,0.5,40.25,14.28,42.83,162.49
104,,,1.0,38.89,14.95,29.91,81.37
105,,,1.5,16.29,12.86,22.07,11.94
106,,,2.0,7.16,3.25,31.56,7.10
107,,,2.5,12.39,19.49,40.68,5.31
108,,,3.0,21.61,11.44,59.22,4.34
109,HUTAN MELINTANG - 2,BH 19,0.5,42.30,38.68,7.24,166.40
110,,,1.0,39.17,34.04,19.42,69.11
111,,,1.5,29.96,17.27,14.28,11.91
112,,,2.0,10.13,5.86,51.66,7.27
113,,,2.5,4.02,17.54,27.81,2.60
114,,,3.0,10.50,7.57,14.08,4.79
115,KLANG - 1,BH 20,1.0,25.59,2.64,106.39,383.46
116,,,2.5,11.01,19.45,9.43,12.77
117,,,3.0,8.88,8.47,6.60,10.22
118,KLANG - 2,BH 21,1.0,24.40,32.59,88.29,248.02
119,,,1.5,11.83,8.95,9.90,51.57
120,,,2.0,6.79,7.29,76.88,22.36
121,,,2.5,2.08,7.29,56.56,10.43
122,,,3.0,8.38,2.98,0.66,7.74
123,SUNGKAI - 1,BH 22,0.5,36.23,20.12,158.67,77.13
