Sample,Location,Borehole,Depth,Moisture content (%),Cohesion (kPa),Angle of friction (ϕ),Plasticity Index,Soil bulk density (kN/m3),Soil dry density (kN/m3),SPT,Porosity (%),Initial void ratio (e),Initial degree of saturation (Sr) %,pH,TOC,Lab. Resistivity  (ρa)
1,UTP,BH 1,0.5,14.39,22.03,29.11,19.70,17.06,14.91,11,43.72,0.78,49.09,4.73,0.660,436.76
2,,,1.0,11.35,24.67,16.48,17.40,15.54,13.95,9,47.35,0.90,33.44,6.05,0.267,2732.25
3,,,1.5,18.46,25.6,6.84,0.00,17.23,14.54,6,45.12,0.82,59.51,5.98,0.149,186.41
4,,,2.0,12.34,27.8,9.48,0.00,12.72,11.33,4,57.26,1.34,24.41,6.07,0.023,946.18
5,,,2.5,12.55,21.73,8.08,0.00,15.46,13.74,4,48.15,0.93,35.81,5.84,0.007,320.94
6,,,3.0,12.78,25.6,10.48,0.00,16.89,14.98,4,43.48,0.77,44.03,6.18,0.117,138.74
7,PINJI-1,BH 2,0.5,21.06,1.60,24.00,40.10,20.24,16.72,50,36.92,0.59,95.36,4.54,0.046,2124.80
8,,,1.0,14.44,52.00,24.17,29.50,19.81,17.31,50,34.66,0.53,72.13,4.68,0.045,7424.98
9,,,1.5,16.39,8.22,21.86,37.00,22.56,19.38,50,26.86,0.37,118.27,4.71,0.215,4616.57
10,,,2.0,10.67,12.26,21.53,35.10,22.24,20.09,50,24.18,0.32,88.67,4.61,0.000,3868.30
11,,,2.5,27.12,2.63,17.30,50.30,19.70,15.50,50,41.52,0.71,101.22,4.46,0.032,1148.19
12,,,3.0,31.36,5.33,19.16,38.00,20.57,15.66,50,40.92,0.69,119.98,4.46,0.044,1238.64
13,PINJI-2,BH 3,0.5,17.22,1.90,25.00,23.70,19.79,16.88,50,36.31,0.57,80.05,4.37,0.109,2103.06
14,,,1.0,23.84,43.67,22.18,36.40,18.73,15.13,50,42.91,0.75,84.04,4.01,0.026,2934.13
15,,,1.5,27.07,1.24,20.65,45.10,20.58,16.20,50,38.89,0.64,112.74,3.75,0.014,1936.95
16,,,2.0,22.4,10.97,24.68,53.00,19.72,16.11,38,39.21,0.65,92.03,3.93,0.043,1743.64
17,,,2.5,19.82,3.52,14.38,54.50,22.20,18.53,38,30.08,0.43,122.08,3.95,0.015,1965.44
18,,,3.0,27.73,1.94,22.50,61.40,21.33,16.70,38,36.99,0.59,125.17,3.58,0.079,1664.38
19,KOYAN-1,BH 4,0.5,19.57,90.66,49.61,4.76,18.32,15.32,16,42.18,0.73,71.09,5.48,0.060,1191.01
20,,,1.0,22.83,14.01,48.5,14.02,24.60,20.03,16,24.43,0.32,187.13,3.83,0.029,1230.19
21,,,1.5,16.12,42.59,47.42,17,18.59,16.01,18,39.60,0.66,65.15,4.49,0.200,1148.05
22,,,2.0,27.35,81.3,48.52,16.81,20.44,16.05,22,39.45,0.65,111.26,5.45,0.005,1709.61
23,,,2.5,26.19,42.6,35.34,25.94,20.67,16.38,24,38.18,0.62,112.38,4.12,0.030,887.25
24,,,3.0,24.6,10.95,35.96,16.05,20.04,16.08,30,39.31,0.65,100.64,5.24,0.020,885.94
25,KOYAN-2,BH 5,0.5,31.55,88.21,49.57,19.43,17.21,13.08,40,50.63,1.03,81.53,4.94,0.007,2907.50
26,,,1.0,35.36,85.26,48.48,19.34,16.15,11.93,40,54.98,1.22,76.72,6.10,0.120,1671.40
27,,,1.5,43.19,60.85,47.64,15.95,19.10,13.34,40,49.66,0.99,116.01,4.27,0.140,1304.76
28,,,2.0,21.71,67.17,49.08,19.04,18.02,14.80,42,44.14,0.79,72.81,4.81,0.090,1471.62
29,,,2.5,42.51,90.48,49.13,12.95,18.92,13.27,46,49.91,1.00,113.05,4.59,0.190,735.99
30,,,3.0,35.21,65.14,49.70,12.42,18.33,13.56,48,48.83,0.95,97.78,4.44,0.100,1507.21
31,ULU PUDU -1,BH 6,0.5,25.69,91.93,49.8,18.82,19.52,15.53,6,41.40,0.71,96.36,6.23,0.650,10.74
32,,,1.0,19.53,76.03,26.01,18.20,18.01,15.07,8,43.14,0.76,68.23,4.29,0.004,33.62
33,,,1.5,27.83,26.54,37,11.25,22.09,17.28,10,34.80,0.53,138.18,3.87,0.030,134.77
34,,,2.0,30.52,30.76,35.6,20.85,17.31,13.26,10,49.96,1.00,81.00,3.82,0.029,113.33
35,,,2.5,27.32,62.69,49.85,21.53,20.11,15.79,14,40.41,0.68,106.78,6.09,0.220,299.18
36,,,3.0,16.09,39.99,28.71,23.92,17.13,14.75,14,44.33,0.80,53.55,5.33,0.150,427.40
37,ULU PUDU -2,BH 7,0.5,14.30,76.01,35.81,19.59,23.93,20.94,18,20.99,0.27,142.68,7.23,0.200,582.06
38,,,1.0,18.51,37.26,46.77,21.64,25.48,21.50,20,18.85,0.23,211.12,6.72,0.056,757.34
