Sample,Location,Borehole,Depth,1D inverted resistivity,2D inverted resistivity,Field resistivity  (ρ),Lab. Resistivity  (ρa),Moisture content (%)
1,UTP,BH 1,0.5,33.71,123,18.46,436.76,14.39
2,,,1.0,49.93,175,192.29,2732.25,11.35
3,,,1.5,61.38,270,35.35,186.41,18.46
4,,,2.0,69.63,500,36.45,946.18,12.34
5,,,2.5,75.76,500,99.44,320.94,12.55
6,,,3.0,80.45,500,102.93,138.74,12.78
7,PINJI-1,BH 2,0.5,635.80,853.00,633.11,2124.80,21.06
8,,,1.0,906.30,1350.00,924.69,7424.98,14.44
9,,,1.5,1054.00,1360.00,1037.33,4616.57,16.39
10,,,2.0,1135.50,1400.00,1138.66,3868.30,10.67
11,,,2.5,1182.30,1400.00,1153.90,1148.19,27.12
12,,,3.0,1210.20,1400.00,1250.83,1238.64,31.36
13,PINJI-2,BH 3,0.5,416.80,600.00,406.26,2103.06,17.22
14,,,1.0,583.70,853.00,603.89,2934.13,23.84
15,,,1.5,652.60,900.00,705.54,1936.95,27.07
16,,,2.0,683.20,1200.00,602.64,1743.64,22.4
17,,,2.5,701.30,1200.00,701.45,1965.44,19.82
18,,,3.0,715.50,853.00,763.98,1664.38,27.73
19,KOYAN-1,BH 4,0.5,505.10,108.00,471.61,1191.01,19.57
20,,,1.0,634.80,250.00,761.94,1230.19,22.83
21,,,1.5,642.20,412.00,584.88,1148.05,16.12
22,,,2.0,609.70,645.00,597.61,1709.61,27.35
23,,,2.5,571.00,800.00,523.93,887.25,26.19
24,,,3.0,536.80,1000.00,585.35,885.94,24.6
25,KOYAN-2,BH 5,0.5,428.00,169.00,428.41,885.94,31.55
26,,,1.0,309.10,264.00,301.95,1671.40,35.36
27,,,1.5,334.30,412.00,347.82,1304.76,43.19
28,,,2.0,332.50,500.00,335.57,1471.62,21.71
29,,,2.5,316.60,700.00,298.49,735.99,42.51
30,,,3.0,296.20,1000.00,304.46,1507.21,35.21
31,ULU PUDU -1,BH 6,0.5,35.64,90,15.87,10.74,25.69
32,,,1.0,61.08,132,115.47,33.62,19.53
33,,,1.5,80.18,150,136.06,134.77,27.83
34,,,2.0,93.99,200,125.99,113.33,30.52
35,,,2.5,103.9,250,73.92,299.18,27.32
36,,,3.0,111.1,300,85.49,427.40,16.09
37,ULU PUDU -2,BH 7,0.5,126.7,30,127.11,582.06,14.30
38,,,1.0,165.8,45,161.59,757.34,18.51
39,,,1.5,184.3,87.5,194.79,5918.24,21.53
40,,,2.0,183.7,90,177.40,706.95,19.12
41,,,2.5,173.8,130,172.73,607.94,13.34
42,,,3.0,160.5,180,161.58,3430.98,25.32
43,TRONOH -1,BH 8,0.5,434.6,332,436.11,534.35,19.84
44,,,1.0,444.5,455,447.74,920.59,27.82
45,,,1.5,484.9,600,488.93,880.46,14.40
46,,,2.0,543.5,625,540.30,1091.90,16.25
47,,,2.5,601.4,800,603.26,1137.57,23.84
48,,,3.0,652.8,700,663.40,1429.85,13.44
49,TRONOH -2,BH 9,0.5,834.5,332,829.49,527.39,27.35
50,,,1.0,901.8,400,916.52,2474.62,13.92
51,,,1.5,804.5,455,795.55,955.85,13.04
52,,,2.0,696.2,500,695.01,875.57,14.51
53,,,2.5,612.7,500,607.98,2153.93,14.81
54,,,3.0,554.5,600,558.02,624.60,14.25
55,SELAYANG -1,BH 10,0.5,71.64,70,72.85,112.90,18.03
56,,,1.0,63.88,60,56.08,84.51,20.28
57,,,1.5,63.88,58,69.14,81.08,18.68
58,,,2.0,67.17,58,94.57,29.39,20.09
59,,,2.5,61.53,75,48.70,81.30,24.11
60,,,3.0,54.46,80,53.73,137.87,22.43
61,SELAYANG -2,BH 11,0.5,60.54,58,60.09,55.40,20.86
62,,,1.0,45.18,58,49.89,139.15,26.59
63,,,1.5,57.99,45,33.79,145.23,16.02
64,,,2.0,75.66,45,87.79,121.13,23.96
65,,,2.5,93.88,58,97.72,106.85,21.87
66,,,3.0,112,58,147.23,70.40,17.55
67,PARIT - 1,BH 12,0.5,137.1,550,136.68,151.32,26.14
68,,,1.0,235.4,620,219.91,2459.24,10.51
69,,,1.5,314.1,650,347.07,524.70,11.20
70,,,2.0,373.6,500,387.09,4166.87,23.37
71,,,2.5,418.5,400,389.28,219.72,27.09
72,,,3.0,452.3,250,455.65,187.80,23.87
73,PARIT - 2,BH 13,0.5,438.8,550,439.09,527.19,28.18
74,,,1.0,300.1,600,299.24,610.20,20.58
75,,,1.5,337.7,430,336.89,769.50,24.55
76,,,2.0,355,300,364.16,360.16,13.50
77,,,2.5,358.9,250,347.83,304.39,28.63
78,,,3.0,356.7,220,360.89,224.63,29.97
79,SHAH ALAM - 1,BH 14,0.5,25.32,25,20.31,616.12,32.68
80,,,1.0,39.52,18,45.26,101.62,64.45
81,,,1.5,47.74,14,44.93,44.72,39.05
82,,,2.0,51.58,15,96.77,250.57,35.06
83,,,2.5,52.78,18,38.03,40.93,53.47
84,,,3.0,52.5,20,44.26,48.13,66.32
85,SHAH ALAM - 2,BH 15,0.5,169.8,70,167.55,203.75,38.52
