Moisture content (%),Resisitivity (ohm.m/ Ω.m)
14.39,248.08
10.66,415.53
11.35,935.53
15.68,432.10
13.60,1276.04
18.46,179.00
12.34,2437.82
16.92,235.58
12.55,293.41
12.78,138.42
21.06,2227.49
14.44,2969.99
16.39,4049.99
10.67,4049.99
27.12,1172.37
31.36,1237.50
17.22,2194.58
23.84,3115.38
27.07,2081.77
22.4,1720.07
19.82,2062.49
27.73,1713.46
19.57,1191.01
22.83,1230.19
16.12,1148.05
27.35,1709.61
26.19,887.25
24.6,885.94
31.55,2907.50
35.36,1671.40
43.19,1304.76
21.71,1471.62
42.51,735.99
35.21,1507.21
