Sample,Location,Borehole,Depth,SPT,Porosity (%),Field resistivity  (ρ),Lab. Resistivity  (ρa),1D inverted resistivity,Moisture content (%),,,
1,UTP,BH 1,0.5,10,43.72,18.46,436.76,33.71,14.39,,,
2,,,1.0,5,47.35,192.29,2732.25,49.93,11.35,,,
3,,,1.5,6,45.12,35.35,186.41,61.38,18.46,,,
4,,,2.0,8,57.26,36.45,946.18,69.63,12.34,,,
5,,,2.5,8,48.15,99.44,320.94,75.76,12.55,,,
6,,,3.0,10,43.48,102.93,138.74,80.45,12.78,,,
7,PINJI-1,BH 2,0.5,35,36.92,633.11,2124.80,635.80,21.06,,,
8,,,1.0,37,34.66,924.69,7424.98,906.30,14.44,,,
9,,,1.5,43,26.86,1037.33,4616.57,1054.00,16.39,,,
10,,,2.0,48,24.18,1138.66,3868.30,1135.50,10.67,,,
11,,,2.5,48,41.52,1153.90,1148.19,1182.30,27.12,,,
12,,,3.0,50,40.92,1250.83,1238.64,1210.20,31.36,,,
13,PINJI-2,BH 3,0.5,25,36.31,406.26,2103.06,416.80,17.22,,,
14,,,1.0,30,42.91,603.89,2934.13,583.70,23.84,,,
15,,,1.5,36,38.89,705.54,1936.95,652.60,27.07,,,
16,,,2.0,43,39.21,602.64,1743.64,683.20,22.4,,,
17,,,2.5,48,30.08,701.45,1965.44,701.30,19.82,,,
18,,,3.0,50,36.99,763.98,1664.38,715.50,27.73,,,
19,KOYAN-1,BH 4,0.5,2,42.18,471.61,1191.01,505.10,19.57,,,
20,,,1.0,2,24.43,761.94,1230.19,634.80,22.83,,,
21,,,1.5,6,39.60,584.88,1148.05,642.20,16.12,,,
22,,,2.0,8,39.45,597.61,1709.61,609.70,27.35,,,
23,,,2.5,8,38.18,523.93,887.25,571.00,26.19,,,
24,,,3.0,8,39.31,585.35,885.94,536.80,24.6,,,
25,KOYAN-2,BH 5,0.5,18,50.63,428.41,2907.50,428.00,31.55,,,
26,,,1.0,22,54.98,301.95,1671.40,309.10,35.36,,,
27,,,1.5,20,49.66,347.82,1304.76,334.30,43.19,,,
28,,,2.0,20,44.14,335.57,1471.62,332.50,21.71,,,
29,,,2.5,13,49.91,298.49,735.99,316.60,42.51,,,
30,,,3.0,13,48.83,304.46,1507.21,296.20,35.21,,,
31,ULU PUDU -1,BH 6,0.5,2,41.40,15.87,10.74,35.64,25.69,,,
32,,,1.0,3,43.14,115.47,33.62,61.08,19.53,,,
33,,,1.5,3,34.80,136.06,134.77,80.18,27.83,,,
34,,,2.0,4,49.96,125.99,113.33,93.99,30.52,,,
35,,,2.5,4,40.41,73.92,299.18,103.9,27.32,,,
36,,,3.0,5,44.33,85.49,427.40,111.1,16.09,,,
37,ULU PUDU -2,BH 7,0.5,2,20.99,127.11,582.06,126.7,14.30,,,
38,,,1.0,2,18.85,161.59,757.34,165.8,18.51,,,
39,,,1.5,2,35.56,194.79,5918.24,184.3,21.53,,,
40,,,2.0,2,24.52,177.40,706.95,183.7,19.12,,,
41,,,2.5,4,38.44,172.73,607.94,173.8,13.34,,,
42,,,3.0,4,46.64,161.58,3430.98,160.5,25.32,,,
43,TRONOH -1,BH 8,0.5,2,60.88,436.11,534.35,434.6,19.84,,,
44,,,1.0,4,34.38,447.74,920.59,444.5,27.82,,,
45,,,1.5,6,38.02,488.93,880.46,484.9,14.40,,,
46,,,2.0,20,36.43,540.30,1091.90,543.5,16.25,,,
47,,,2.5,22,7.99,603.26,1137.57,601.4,23.84,,,
48,,,3.0,24,26.79,663.40,1429.85,652.8,13.44,,,
49,TRONOH -2,BH 9,0.5,2,53.68,829.49,527.39,834.5,27.35,,,
50,,,1.0,4,34.24,916.52,2474.62,901.8,13.92,,,
51,,,1.5,8,38.96,795.55,955.85,804.5,13.04,,,
52,,,2.0,16,28.98,695.01,875.57,696.2,14.51,,,
53,,,2.5,24,41.32,607.98,2153.93,612.7,14.81,,,
54,,,3.0,28,51.81,558.02,624.60,554.5,14.25,,,
55,SELAYANG -1,BH 10,0.5,2,31.29,72.85,112.90,71.64,18.03,,,
56,,,1.0,3,9.34,56.08,84.51,63.88,20.28,,,
57,,,1.5,3,32.90,69.14,81.08,63.88,18.68,,,
58,,,2.0,4,31.87,94.57,29.39,67.17,20.09,,,
59,,,2.5,5,44.72,48.70,81.30,61.53,24.11,,,
60,,,3.0,5,37.75,53.73,137.87,54.46,22.43,,,
61,SELAYANG -2,BH 11,0.5,2,35.45,60.09,55.40,60.54,20.86,,,
62,,,1.0,2,47.54,49.89,139.15,45.18,26.59,,,
63,,,1.5,3,29.69,33.79,145.23,57.99,16.02,,,
64,,,2.0,3,43.61,87.79,121.13,75.66,23.96,,,
65,,,2.5,5,40.62,97.72,106.85,93.88,21.87,,,
66,,,3.0,5,35.08,147.23,70.40,112,17.55,,,
67,PARIT - 1,BH 12,0.5,6,56.00,136.68,151.32,137.1,26.14,,,
68,,,1.0,5,57.20,219.91,2459.24,235.4,10.51,,,
69,,,1.5,5,49.79,347.07,524.70,314.1,11.20,,,
70,,,2.0,4,58.78,387.09,4166.87,373.6,23.37,,,
71,,,2.5,4,29.38,389.28,219.72,418.5,27.09,,,
72,,,3.0,4,47.28,455.65,187.80,452.3,23.87,,,
73,PARIT - 2,BH 13,0.5,5,48.20,439.09,527.19,438.8,28.18,,,
74,,,1.0,5,55.31,299.24,610.20,300.1,20.58,,,
75,,,1.5,4,62.74,336.89,769.50,337.7,24.55,,,
76,,,2.0,4,70.41,364.16,360.16,355,13.50,,,
77,,,2.5,4,65.05,347.83,304.39,358.9,28.63,,,
78,,,3.0,4,76.47,360.89,224.63,356.7,29.97,,,
79,SHAH ALAM - 1,BH 14,0.5,3,49.01,20.31,616.12,25.32,32.68,,,
80,,,1.0,3,62.90,45.26,101.62,39.52,64.45,,,
81,,,1.5,3,58.41,44.93,44.72,47.74,39.05,,,
82,,,2.0,4,55.37,96.77,250.57,51.58,35.06,,,
83,,,2.5,4,61.66,38.03,40.93,52.78,53.47,,,
84,,,3.0,4,64.59,44.26,48.13,52.5,66.32,,,
85,SHAH ALAM - 2,BH 15,0.5,2,60.52,167.55,203.75,169.8,38.52,,,
86,,,1.0,3,59.64,139.39,260.84,113.7,52.70,,,
87,,,1.5,3,51.11,48.54,55.23,90.37,24.16,,,
88,,,2.0,4,62.68,118.45,40.54,78.28,71.91,,,
89,,,2.5,4,49.09,123.87,66.35,71.11,33.67,,,
90,,,3.0,4,56.36,39.00,46.97,66.69,42.08,,,
91,PUNCAK - 1,BH 16,0.5,18,41.93,1960.61,2059.67,2204.1,19.98,,,
92,,,1.0,18,51.39,2658.13,2622.00,1869.6,32.64,,,
93,,,1.5,20,38.48,1051.00,1714.05,1444.6,23.76,,,
94,,,2.0,20,42.63,1166.31,1994.47,1189.7,29.22,,,
95,,,2.5,22,38.23,1040.79,1538.49,1054.4,23.29,,,
96,,,3.0,22,39.60,1077.39,1830.37,983,21.36,,,
97,PUNCAK - 2,BH 17,0.5,14,41.79,878.03,2483.99,879,17.54,,,
98,,,1.0,14,50.42,1027.43,2012.40,1048.1,26.22,,,
99,,,1.5,16,39.75,1159.87,1368.26,1069.9,22.73,,,
100,,,2.0,16,42.38,965.85,2020.62,1044.4,24.50,,,
101,,,2.5,18,41.28,996.01,2212.13,1010.8,26.86,,,
102,,,3.0,18,36.49,1012.35,1521.14,980.8,19.44,,,
103,HUTAN MELINTANG - 1,BH 18,0.5,2,62.18,42.83,162.49,43.59,39.22,,,
104,,,1.0,2,73.69,29.91,81.37,26.61,89.74,,,
105,,,1.5,2,77.32,22.07,11.94,26.16,122.64,,,
106,,,2.0,2,80.97,31.56,7.10,31.44,158.46,,,
107,,,2.5,2,80.15,40.68,5.31,37.93,147.64,,,
108,,,3.0,2,78.28,59.22,4.34,44.48,134.30,,,
109,HUTAN MELINTANG - 2,BH 19,0.5,2,70.45,7.24,166.40,9.58,63.41,,,
110,,,1.0,2,68.01,19.42,69.11,15.72,72.75,,,
111,,,1.5,2,78.78,14.28,11.91,19.96,126.55,,,
