Sample,Location,Borehole,Depth,Liquid Limit,Plastic Limit,Plasticity Index,PI = 0.9 (LL-8),PI = 0.73 (LL-20),Field resistivity  (ρ),Lab. Resistivity  (ρa),Moisture content (%)
1,UTP,BH 1,0.5,35.00,15.30,19.70,24.30,10.95,18.46,436.76,14.39
2,,,1.0,32.00,14.60,17.40,21.60,8.76,192.29,2732.25,11.35
3,,,1.5,21.00,0.00,0.00,11.70,0.73,35.35,186.41,18.46
4,,,2.0,23.00,0.00,0.00,13.50,2.19,36.45,946.18,12.34
5,,,2.5,22.00,0.00,0.00,12.60,1.46,99.44,320.94,12.55
6,,,3.0,19.00,0.00,0.00,9.90,-0.73,102.93,138.74,12.78
7,PINJI-1,BH 2,0.5,70.90,30.80,40.10,56.61,37.16,633.11,2124.80,21.06
8,,,1.0,71.00,41.50,29.50,56.70,37.23,924.69,7424.98,14.44
9,,,1.5,75.50,38.50,37.00,60.75,40.52,1037.33,4616.57,16.39
10,,,2.0,73.00,37.90,35.10,58.50,38.69,1138.66,3868.30,10.67
11,,,2.5,81.80,31.50,50.30,66.42,45.11,1153.90,1148.19,27.12
12,,,3.0,76.00,38.00,38.00,61.20,40.88,1250.83,1238.64,31.36
13,PINJI-2,BH 3,0.5,60.00,36.30,23.70,46.80,29.20,406.26,2103.06,17.22
14,,,1.0,89.00,52.60,36.40,72.90,50.37,603.89,2934.13,23.84
15,,,1.5,94.50,49.40,45.10,77.85,54.39,705.54,1936.95,27.07
16,,,2.0,100.50,47.50,53.00,83.25,58.77,602.64,1743.64,22.4
17,,,2.5,97.00,42.50,54.50,80.10,56.21,701.45,1965.44,19.82
18,,,3.0,101.00,39.60,61.40,83.70,59.13,763.98,1664.38,27.73
19,KOYAN-1,BH 4,0.5,44,39.24,4.76,32.40,17.52,471.61,1191.01,19.57
20,,,1.0,57,42.98,14.02,44.10,27.01,761.94,1230.19,22.83
21,,,1.5,56.8,39.8,17,43.92,26.86,584.88,1148.05,16.12
22,,,2.0,58,41.19,16.81,45.00,27.74,597.61,1709.61,27.35
23,,,2.5,62,36.06,25.94,48.60,30.66,523.93,887.25,26.19
24,,,3.0,58,41.95,16.05,45.00,27.74,585.35,885.94,24.6
25,KOYAN-2,BH 5,0.5,68.00,48.57,19.43,54.00,35.04,428.41,2907.50,31.55
26,,,1.0,70.00,50.66,19.34,55.80,36.50,301.95,1671.40,35.36
27,,,1.5,68.00,52.05,15.95,54.00,35.04,347.82,1304.76,43.19
28,,,2.0,66.00,46.96,19.04,52.20,33.58,335.57,1471.62,21.71
29,,,2.5,66.00,53.05,12.95,52.20,33.58,298.49,735.99,42.51
30,,,3.0,68.00,55.58,12.42,54.00,35.04,304.46,1507.21,35.21
31,ULU PUDU -1,BH 6,0.5,49.00,30.18,18.82,36.90,21.17,15.87,10.74,25.69
32,,,1.0,51.00,32.80,18.20,38.70,22.63,115.47,33.62,19.53
33,,,1.5,55.00,43.75,11.25,42.30,25.55,136.06,134.77,27.83
34,,,2.0,62.20,41.35,20.85,48.78,30.81,125.99,113.33,30.52
35,,,2.5,51.00,29.47,21.53,38.70,22.63,73.92,299.18,27.32
36,,,3.0,58.00,34.08,23.92,45.00,27.74,85.49,427.40,16.09
37,ULU PUDU -2,BH 7,0.5,44.00,24.41,19.59,32.40,17.52,127.11,582.06,14.30
38,,,1.0,51.00,29.36,21.64,38.70,22.63,161.59,757.34,18.51
39,,,1.5,58.00,41.76,16.24,45.00,27.74,194.79,5918.24,21.53
40,,,2.0,57.00,35.14,21.86,44.10,27.01,177.40,706.95,19.12
41,,,2.5,57.00,30.74,26.26,44.10,27.01,172.73,607.94,13.34
42,,,3.0,80.00,49.42,30.58,64.80,43.80,161.58,3430.98,25.32
43,TRONOH -1,BH 8,0.5,30.00,19.49,10.51,19.80,7.30,436.11,534.35,19.84
44,,,1.0,28.00,24.75,3.25,18.00,5.84,447.74,920.59,27.82
