Sample,Location,Borehole,Depth,Initial void ratio (e),Initial degree of saturation (Sr) %,Field resistivity  (ρ),Lab. Resistivity  (ρa)
1,UTP,BH 1,0.5,0.78,49.09,18.46,436.76
2,,,1.0,0.90,33.44,192.29,2732.25
3,,,1.5,0.82,59.51,35.35,186.41
4,,,2.0,1.34,24.41,36.45,946.18
5,,,2.5,0.93,35.81,99.44,320.94
6,,,3.0,0.77,44.03,102.93,138.74
7,PINJI-1,BH 2,0.5,0.59,95.36,633.11,2124.80
8,,,1.0,0.53,72.13,924.69,7424.98
9,,,1.5,0.37,118.27,1037.33,4616.57
10,,,2.0,0.32,88.67,1138.66,3868.30
11,,,2.5,0.71,101.22,1153.90,1148.19
12,,,3.0,0.69,119.98,1250.83,1238.64
13,PINJI-2,BH 3,0.5,0.57,80.05,406.26,2103.06
14,,,1.0,0.75,84.04,603.89,2934.13
15,,,1.5,0.64,112.74,705.54,1936.95
16,,,2.0,0.65,92.03,602.64,1743.64
17,,,2.5,0.43,122.08,701.45,1965.44
18,,,3.0,0.59,125.17,763.98,1664.38
19,KOYAN-1,BH 4,0.5,0.73,71.09,471.61,1191.01
20,,,1.0,0.32,187.13,761.94,1230.19
21,,,1.5,0.66,65.15,584.88,1148.05
22,,,2.0,0.65,111.26,597.61,1709.61
23,,,2.5,0.62,112.38,523.93,887.25
24,,,3.0,0.65,100.64,585.35,885.94
25,KOYAN-2,BH 5,0.5,1.03,81.53,428.41,2907.50
26,,,1.0,1.22,76.72,301.95,1671.40
27,,,1.5,0.99,116.01,347.82,1304.76
28,,,2.0,0.79,72.81,335.57,1471.62
29,,,2.5,1.00,113.05,298.49,735.99
30,,,3.0,0.95,97.78,304.46,1507.21
31,ULU PUDU -1,BH 6,0.5,0.71,96.36,15.87,10.74
32,,,1.0,0.76,68.23,115.47,33.62
33,,,1.5,0.53,138.18,136.06,134.77
34,,,2.0,1.00,81.00,125.99,113.33
35,,,2.5,0.68,106.78,73.92,299.18
36,,,3.0,0.80,53.55,85.49,427.40
37,ULU PUDU -2,BH 7,0.5,0.27,142.68,127.11,582.06
38,,,1.0,0.23,211.12,161.59,757.34
39,,,1.5,0.55,103.41,194.79,5918.24
40,,,2.0,0.32,155.94,177.40,706.95
41,,,2.5,0.62,56.60,172.73,607.94
42,,,3.0,0.87,76.75,161.58,3430.98
43,TRONOH -1,BH 8,0.5,1.56,33.78,436.11,534.35
44,,,1.0,0.52,140.69,447.74,920.59
45,,,1.5,0.61,62.22,488.93,880.46
46,,,2.0,0.57,75.16,540.30,1091.90
47,,,2.5,0.09,727.19,603.26,1137.57
48,,,3.0,0.37,97.34,663.40,1429.85
49,TRONOH -2,BH 9,0.5,1.16,62.54,829.49,527.39
50,,,1.0,0.52,70.85,916.52,2474.62
51,,,1.5,0.64,54.14,795.55,955.85
52,,,2.0,0.41,94.23,695.01,875.57
53,,,2.5,0.70,55.73,607.98,2153.93
54,,,3.0,1.08,35.12,558.02,624.60
55,SELAYANG -1,BH 10,0.5,0.46,104.91,72.85,112.90
56,,,1.0,0.10,521.40,56.08,84.51
57,,,1.5,0.49,100.97,69.14,81.08
58,,,2.0,0.47,113.80,94.57,29.39
59,,,2.5,0.81,78.99,48.70,81.30
60,,,3.0,0.61,98.00,53.73,137.87
61,SELAYANG -2,BH 11,0.5,0.55,100.66,60.09,55.40
62,,,1.0,0.91,77.76,49.89,139.15
63,,,1.5,0.42,100.53,33.79,145.23
64,,,2.0,0.77,82.10,87.79,121.13
65,,,2.5,0.68,84.73,97.72,106.85
66,,,3.0,0.54,86.05,147.23,70.40
67,PARIT - 1,BH 12,0.5,1.27,54.42,136.68,151.32
68,,,1.0,1.34,20.84,219.91,2459.24
69,,,1.5,0.99,29.94,347.07,524.70
70,,,2.0,1.43,43.43,387.09,4166.87
71,,,2.5,0.42,172.55,389.28,219.72
72,,,3.0,0.90,70.54,455.65,187.80
73,PARIT - 2,BH 13,0.5,0.93,80.26,439.09,527.19
74,,,1.0,1.24,44.06,299.24,610.20
75,,,1.5,1.68,38.63,336.89,769.50
76,,,2.0,2.38,15.03,364.16,360.16
77,,,2.5,1.86,40.76,347.83,304.39
78,,,3.0,3.25,24.44,360.89,224.63
79,SHAH ALAM - 1,BH 14,0.5,0.96,90.09,20.31,616.12
80,,,1.0,1.70,100.75,45.26,101.62
81,,,1.5,1.40,73.69,44.93,44.72
82,,,2.0,1.24,74.89,96.77,250.57
83,,,2.5,1.61,88.09,38.03,40.93
84,,,3.0,1.82,96.33,44.26,48.13
85,SHAH ALAM - 2,BH 15,0.5,1.53,66.60,167.55,203.75
86,,,1.0,1.48,94.50,139.39,260.84
87,,,1.5,1.05,61.24,48.54,55.23
88,,,2.0,1.68,113.45,118.45,40.54
89,,,2.5,0.96,92.52,123.87,66.35
90,,,3.0,1.29,86.33,39.00,46.97
91,PUNCAK - 1,BH 16,0.5,0.72,72.95,1960.61,2059.67
92,,,1.0,1.06,81.81,2658.13,2622.00
93,,,1.5,0.63,100.66,1051.00,1714.05
94,,,2.0,0.74,104.22,1166.31,1994.47
95,,,2.5,0.62,99.72,1040.79,1538.49
96,,,3.0,0.66,86.32,1077.39,1830.37
97,PUNCAK - 2,BH 17,0.5,0.72,64.75,878.03,2483.99
98,,,1.0,1.02,68.33,1027.43,2012.40
99,,,1.5,0.66,91.29,1159.87,1368.26
100,,,2.0,0.74,88.28,965.85,2020.62
101,,,2.5,0.70,101.26,996.01,2212.13
102,,,3.0,0.57,89.65,1012.35,1521.14
103,HUTAN MELINTANG - 1,BH 18,0.5,1.64,63.21,42.83,162.49
104,,,1.0,2.80,84.90,29.91,81.37
105,,,1.5,3.41,95.34,22.07,11.94
106,,,2.0,4.26,98.66,31.56,7.10
107,,,2.5,4.04,96.91,40.68,5.31
108,,,3.0,3.60,98.75,59.22,4.34
109,HUTAN MELINTANG - 2,BH 19,0.5,2.38,70.49,7.24,166.40
110,,,1.0,2.13,90.68,19.42,69.11
111,,,1.5,3.71,90.33,14.28,11.91
112,,,2.0,4.08,92.76,51.66,7.27
113,,,2.5,3.40,103.42,27.81,2.60
114,,,3.0,3.89,96.65,14.08,4.79
115,KLANG - 1,BH 20,1.0,2.74,40.33,106.39,383.46
116,,,2.5,3.87,94.24,9.43,12.77
117,,,3.0,3.81,90.73,6.60,10.22
118,KLANG - 2,BH 21,1.0,1.06,72.96,88.29,248.02
119,,,1.5,5.09,84.45,9.90,51.57
120,,,2.0,3.48,98.69,76.88,22.36
121,,,2.5,3.89,95.25,56.56,10.43
122,,,3.0,4.27,90.67,0.66,7.74
123,SUNGKAI - 1,BH 22,0.5,1.09,35.30,158.67,77.13
124,,,1.0,1.37,57.80,144.11,448.49
125,,,1.5,1.14,89.74,241.81,453.49
126,,,2.0,1.33,78.36,223.63,4738.38
127,,,2.5,0.93,84.69,192.73,569.62
128,,,3.0,0.76,65.95,255.82,1328.42
129,SUNGKAI - 2,BH 23,0.5,1.62,40.77,391.81,489.55
130,,,1.0,1.70,51.81,423.54,803.87
131,,,1.5,1.20,71.54,549.16,853.31
132,,,2.0,1.28,92.98,587.05,493.31
133,,,2.5,1.28,80.78,606.41,93.64
134,,,3.0,0.70,31.09,562.73,3488.91
135,KOTA KUALA MUDA -1,BH 24,0.5,0.92,69.16,9.37,5.48
136,,,1.0,2.22,85.73,37.12,1.83
137,,,1.5,2.40,100.38,7.82,0.84
138,,,2.0,2.07,92.99,24.26,0.72
139,,,2.5,2.99,98.07,103.25,0.54
140,,,3.0,1.57,64.12,79.73,0.50
141,KOTA KUALA MUDA -2,BH 25,0.5,0.66,88.67,23.65,4.59
142,,,1.0,2.38,91.48,49.37,1.11
143,,,1.5,2.98,95.71,71.55,0.57
144,,,2.0,2.42,92.03,60.13,0.46
145,,,2.5,2.01,73.56,39.24,0.57
146,,,3.0,2.51,102.24,20.11,0.57
147,CYBERJAYA -1,,1.0,0.98,65.27,,206.44
148,,,2.5,1.43,66.96,,61.42
149,,,3.0,11.92,108.92,,273.39
150,CYBERJAYA -2,BH 27,0.5,0.79,77.50,,64.17
151,,,1.0,3.74,157.12,,249.24
152,,,3.0,0.74,62.68,,60.18
153,BANDAR PUTERI JAYA - 1,BH 28,0.5,1.15,76.65,,1133.26
154,,,1.0,1.05,76.98,,3957.42
155,,,1.5,1.01,84.65,,4660.14
156,,,2.0,0.72,86.83,,4335.96
157,,,2.5,1.12,72.30,,777.09
158,,,3.0,0.83,82.16,,2927.41
159,BANDAR PUTERI JAYA - 2,BH 29,0.5,1.46,65.58,,1910.48
160,,,1.0,1.21,72.43,,228.94
161,,,1.5,1.12,80.50,,6560.99
162,,,2.0,1.14,76.23,,3196.38
163,MELAKA - 1,BH 30,0.5,0.83,71.78,168.20,155.02
164,,,1.0,1.99,98.45,108.08,15.18
165,,,1.5,1.84,87.48,163.16,8.21
166,,,2.0,2.84,84.60,607.85,4.40
167,,,2.5,2.78,92.38,8.80,2.50
168,,,3.0,2.99,88.91,766.81,2.02
169,MELAKA - 2,BH 31,0.5,0.46,65.98,19.19,17.57
170,,,1.0,0.62,103.62,13.06,15.94
171,,,1.5,2.01,87.87,78.11,4.30
172,,,2.0,2.01,94.59,24.41,4.61
173,,,2.5,2.56,90.27,12.84,2.92
174,,,3.0,2.66,91.25,21.02,1.86
175,PERLIS - 1,BH 32,0.5,0.79,37.59,2.87,4.14
176,,,1.0,2.01,94.41,23.03,0.89
177,,,1.5,2.14,97.31,24.18,1.38
178,,,2.0,3.13,98.48,3.46,0.45
179,,,2.5,2.32,87.95,56.16,0.48
180,,,3.0,2.52,90.74,30.16,0.44
181,PERLIS - 2,BH 33,0.5,0.87,32.07,2.75,8.57
182,,,1.0,1.85,100.07,6.41,0.81
184,,,2.0,2.73,89.16,38.96,1.23
185,,,2.5,2.34,101.75,9.43,1.32
