Location,Latitude,Longitude,Depth,Clay (%),Silt (%),Sand (%),Gravels (%),D10,D30,D60,CU,CC,1D inverted resistivity,Lab. Resistivity  (ρa),Moisture content (%),Soil Classification,Unnamed: 17,Cu,Cc,USCS Classification
UTP Perak,4.383841545,100.9711978,0.5,6.91,2.61,83.88,6.6,0.065,0.154,0.32,4.92,1.14,33.71,436.76,14.39,SP-SC,,4.923076923076923,1.1401923076923075,Poorly-graded Sand (SP)
"Pinji Perdana, Perak",4.522259263,101.0751779,0.5,34.53,2.41,60.56,0.0,0.0,0.0,0.25,Nan,Nan,635.8,2124.8,21.06,SC,,,,Poorly-graded Sand (SP)
"Sg. Koyan, Pahang",4.258812685,101.8252584,0.5,11.36,9.47,79.17,0.0,0.003,0.02,0.27,90,0.49,505.1,1191.01,19.57,SM,,90.0,0.49382716049382713,Poorly-graded Sand (SP)
"Pudu Ulu, Kuala Lumpur",3.119926594,101.7306685,0.5,26.63,23.47,49.8,0.0,0.001,0.004,0.19,190,0.08,35.64,10.74,25.69,MH,,190.0,0.08421052631578947,Clay (C)
"Shah Alam, Selangor",3.07314704,101.5235644,0.5,37.0,32.0,31.0,0.0,0.0,0.0,0.03,Nan,Nan,169.8,203.75,38.52,ML,,,,Clay (C)
"Puncak Perdana, Selangor",3.135983112,101.4937453,0.5,38.0,9.62,52.38,0.0,0.0,0.0,0.28,Nan,Nan,2204.1,2059.67,19.98,Nan,,,,Poorly-graded Sand (SP)
"Hutan Melintang, Perak",3.900149813,100.9526214,0.5,48.0,25.88,26.12,0.0,0.0,0.0,0.01,Nan,Nan,43.59,162.49,39.22,Nan,,,,Clay (C)
"Kota Kuala Muda, Kedah",5.588551223,100.3758938,0.5,15.0,29.0,56.0,0.0,0.001,0.014,0.7,583.33,0.23,11.88,5.48,24.13,Nan,,699.9999999999999,0.28,Poorly-graded Sand (SP)
"Kg. Morten, Melaka",2.20614349,102.2493845,0.5,14.0,16.0,70.0,0.0,0.001,0.05,0.9,900,2.78,159,155.02,22.4,Nan,,900.0,2.777777777777778,Well-graded Sand (SW)
"Kuala Perlis, Perlis",6.403749782,100.1469191,0.5,37.0,33.0,30.0,0.0,0.0,0.0,0.018,Nan,Nan,5.51,4.14,11.21,Nan,,,,Clay (C)
"Cameron Highland, Pahang",4.486203742,101.5183568,0.5,3.0,11.0,86.0,0.0,0.01,0.074,0.1,10,5.48,176.3,324.77,22.63,Nan,,10.0,5.475999999999999,Poorly-graded Sand (SP)
"Pulau Indah, Selangor",2.949134829,101.3306034,0.5,0.0,0.0,100.0,0.0,0.16,0.21,0.27,1.69,1.02,3500,2493.18,3.36,Nan,,1.6875,1.020833333333333,Poorly-graded Sand (SP)
"Pekan, Pahang",3.484194493,103.3189118,1.0,39.0,39.0,22.0,0.0,0.0,0.0,0.036,Nan,Nan,8.02,24.24,57.34,Nan,,,,Clay (C)
"Damansara, Kuala Lumpur",3.14993631,101.657701,1.0,28.0,17.0,55.0,0.0,0.0,0.05,1.1,Nan,Nan,Nan,1593.44,Nan,Nan,,,,Poorly-graded Sand (SP)
"Selayang, Selangor",3.26151937,101.6547084,0.5,18.0,7.96,74.04,0.0,0.0,0.01,0.26,Nan,Nan,60.54,55.4,20.86,SC,,,,Poorly-graded Sand (SP)
"Parit, Perak",4.508980019,100.9035048,0.5,15.0,27.77,57.23,0.0,0.0,0.01,0.06,Nan,Nan,438.8,527.19,28.18,SM,,,,Poorly-graded Sand (SP)
"Klang, Selangor",3.0443357,101.4375623,1.0,30.0,10.0,60.0,0.0,0.0,0.0,0.14,Nan,Nan,83.36,248.02,29.31,Nan,,,,Poorly-graded Sand (SP)
"Sungkai, Perak",3.997949399,101.3058092,0.5,18.0,44.0,38.0,0.0,0.0,0.01,0.04,Nan,Nan,386.3,489.55,24.96,Nan,,,,Silt (M)
"Cyberjaya, Selangor",2.921060883,101.6590511,0.5,18.0,12.0,70.0,0.0,0.0,0.03,0.4,Nan,Nan,130,64.17,23.23,Nan,,,,Poorly-graded Sand (SP)
"Bandar Puteri Jaya, Kedah",5.621962125,100.5341218,0.5,20.0,25.0,55.0,0.0,0.0,0.01,0.5,Nan,Nan,34.1,4.59,22.16,Nan,,,,Poorly-graded Sand (SP)
"Marang, Terengganu",5.211422011,103.2020503,1.0,4.0,26.0,70.0,0.0,0.009,0.05,0.23,25.56,1.21,Nan,Nan,Nan,Nan,,25.555555555555557,1.207729468599034,Well-graded Sand (SW)
"Muar, Johor",2.062828366,102.5856303,0.5,10.0,85.0,5.0,0.0,0.002,0.0,0.01,3,1.33,818,1910.48,36.11,Nan,,5.0,0.0,Silt (M)
"Tronoh, Perak​",4.423190208,100.9940125,0.5,14.53,5.47,80.0,0.0,0.0,0.06,0.18,Nan,Nan,834.5,527.39,27.35,SC,,,,Poorly-graded Sand (SP)
