Sample,Location,Borehole,Depth,pH,TOC,Field conductivity,Lab conductivity,Field resistivity  (ρ),Lab. Resistivity  (ρa)
1,UTP,BH 1,0.5,4.73,0.660,54.17,2.29,18.46,436.76
2,,,1.0,6.05,0.267,5.20,0.37,192.29,2732.25
3,,,1.5,5.98,0.149,28.29,5.36,35.35,186.41
4,,,2.0,6.07,0.023,27.44,1.06,36.45,946.18
5,,,2.5,5.84,0.007,10.06,3.12,99.44,320.94
6,,,3.0,6.18,0.117,9.72,7.21,102.93,138.74
7,PINJI-1,BH 2,0.5,4.54,0.046,1.58,0.47,633.11,2124.80
8,,,1.0,4.68,0.045,1.08,0.13,924.69,7424.98
9,,,1.5,4.71,0.215,0.96,0.22,1037.33,4616.57
10,,,2.0,4.61,0.000,0.88,0.26,1138.66,3868.30
11,,,2.5,4.46,0.032,0.87,0.87,1153.90,1148.19
12,,,3.0,4.46,0.044,0.80,0.81,1250.83,1238.64
13,PINJI-2,BH 3,0.5,4.37,0.109,2.46,0.48,406.26,2103.06
14,,,1.0,4.01,0.026,1.66,0.34,603.89,2934.13
15,,,1.5,3.75,0.014,1.42,0.52,705.54,1936.95
16,,,2.0,3.93,0.043,1.66,0.57,602.64,1743.64
17,,,2.5,3.95,0.015,1.43,0.51,701.45,1965.44
18,,,3.0,3.58,0.079,1.31,0.60,763.98,1664.38
19,KOYAN-1,BH 4,0.5,5.48,0.060,2.12,0.84,471.61,1191.01
20,,,1.0,3.83,0.029,1.31,0.81,761.94,1230.19
21,,,1.5,4.49,0.200,1.71,0.87,584.88,1148.05
22,,,2.0,5.45,0.005,1.67,0.58,597.61,1709.61
23,,,2.5,4.12,0.030,1.91,1.13,523.93,887.25
24,,,3.0,5.24,0.020,1.71,1.13,585.35,885.94
25,KOYAN-2,BH 5,0.5,4.94,0.007,2.33,0.34,428.41,2907.50
26,,,1.0,6.10,0.120,3.31,0.60,301.95,1671.40
27,,,1.5,4.27,0.140,2.88,0.77,347.82,1304.76
28,,,2.0,4.81,0.090,2.98,0.68,335.57,1471.62
29,,,2.5,4.59,0.190,3.35,1.36,298.49,735.99
30,,,3.0,4.44,0.100,3.28,0.66,304.46,1507.21
31,ULU PUDU -1,BH 6,0.5,6.23,0.650,63.02,93.12,15.87,10.74
32,,,1.0,4.29,0.004,8.66,29.75,115.47,33.62
33,,,1.5,3.87,0.030,7.35,7.42,136.06,134.77
34,,,2.0,3.82,0.029,7.94,8.82,125.99,113.33
35,,,2.5,6.09,0.220,13.53,3.34,73.92,299.18
36,,,3.0,5.33,0.150,11.70,2.34,85.49,427.40
37,ULU PUDU -2,BH 7,0.5,7.23,0.200,7.87,1.72,127.11,582.06
38,,,1.0,6.72,0.056,6.19,1.32,161.59,757.34
39,,,1.5,6.09,0.268,5.13,0.17,194.79,5918.24
40,,,2.0,5.07,0.176,5.64,1.41,177.40,706.95
41,,,2.5,4.43,0.244,5.79,1.64,172.73,607.94
42,,,3.0,4.4,0.035,6.19,0.29,161.58,3430.98
43,TRONOH -1,BH 8,0.5,4.14,1.463,2.29,1.87,436.11,534.35
44,,,1.0,5.02,0.030,2.23,1.09,447.74,920.59
45,,,1.5,5.85,0.107,2.05,1.14,488.93,880.46
46,,,2.0,5.85,0.098,1.85,0.92,540.30,1091.90
47,,,2.5,5.9,0.050,1.66,0.88,603.26,1137.57
48,,,3.0,6.11,0.613,1.51,0.70,663.40,1429.85
49,TRONOH -2,BH 9,0.5,6.72,0.136,1.21,1.90,829.49,527.39
50,,,1.0,5.42,0.140,1.09,0.40,916.52,2474.62
51,,,1.5,4.3,0.107,1.26,1.05,795.55,955.85
52,,,2.0,7.41,0.124,1.44,1.14,695.01,875.57
53,,,2.5,5.51,0.118,1.64,0.46,607.98,2153.93
54,,,3.0,4.6,0.263,1.79,1.60,558.02,624.60
55,SELAYANG -1,BH 10,0.5,7.33,0.464,13.73,8.86,72.85,112.90
56,,,1.0,6.05,0.058,17.83,11.83,56.08,84.51
57,,,1.5,5.77,0.080,14.46,12.33,69.14,81.08
58,,,2.0,6.67,0.147,10.57,34.03,94.57,29.39
59,,,2.5,6.85,0.055,20.53,12.30,48.70,81.30
60,,,3.0,7.56,0.003,18.61,7.25,53.73,137.87
61,SELAYANG -2,BH 11,0.5,7.25,0.121,16.64,18.05,60.09,55.40
62,,,1.0,7.86,0.211,20.04,7.19,49.89,139.15
63,,,1.5,4.92,0.192,29.59,6.89,33.79,145.23
64,,,2.0,6.55,0.124,11.39,8.26,87.79,121.13
65,,,2.5,6.4,0.210,10.23,9.36,97.72,106.85
66,,,3.0,5.85,0.064,6.79,14.21,147.23,70.40
67,PARIT - 1,BH 12,0.5,4.26,0.40,7.32,6.61,136.68,151.32
68,,,1.0,4.98,0.08,4.55,0.41,219.91,2459.24
69,,,1.5,5.82,0.08,2.88,1.91,347.07,524.70
70,,,2.0,5.04,0.04,2.58,0.24,387.09,4166.87
71,,,2.5,4.94,0.12,2.57,4.55,389.28,219.72
72,,,3.0,4.99,0.04,2.19,5.32,455.65,187.80
